broker,stock,buy_date,buy_price,sale_date,sale_price,qty
Anand,APOLLO,01-23-2023,37.52,07-05-2023,49.5,50
Anand,GAIL,01-23-2023,104.45,05-16-2023,112.45,10
Anand,RKFORGE,01-24-2023,290.11,05-19-2023,356.75,5
Anand,TIMEX,02-02-2023,163.05,06-23-2023,156.98,5
Anand,SBICARD,02-02-2023,751.03,04-28-2023,772.5,2
Anand,ITC,02-06-2023,389.38,07-10-2023,460.9,5
Anand,DLINKINDIA,02-06-2023,247.42,07-03-2023,247.42,4
Anand,TVTODAY,02-06-2023,311.22,06-23-2023,191.64,2
Zerodha,GAIL,02-23-2023,98.25,05-16-2023,112.45,5
Zerodha,IRB,03-02-2023,28.85,06-26-2023,26.11,15
Zerodha,BECTORFOOD,03-02-2023,533.2,05-09-2023,623,3
Zerodha,ADANIPORTS,03-06-2023,705.4,05-25-2023,712.65,2
Zerodha,AWL,03-08-2023,459.7,06-23-2023,413.45,2
Zerodha,LUMAXTECH,03-09-2023,275.63,04-20-2023,302.42,3
Zerodha,ADANIPOWER,03-13-2023,214.7,05-03-2023,225.3,10
Zerodha,GAIL,03-16-2023,111,05-16-2023,112.45,10
Zerodha,BANSWRAS,04-19-2023,150.5,05-25-2023,160.15,10
Zerodha,BANSWRAS,04-19-2023,145,06-06-2023,181.05,5
Zerodha,BANSWRAS,04-19-2023,145,06-23-2023,168.98,5
Zerodha,MAHSEAMLES,04-20-2023,410.6,05-25-2023,450.1,5
Zerodha,MARINE,07-12-2023,59.95,09-11-2023,65.9,15
Anand,MAHABANK,04-25-2023,31.22,07-07-2023,30.8858,25
Zerodha,MARINE,08-07-2023,66.5,09-11-2023,65.9,10
Zerodha,SAIL,05-02-2023,84.9,07-14-2023,90.8,20
Anand,BHEL,05-02-2023,81.68,07-07-2023,89.64,10
Anand,BHEL,05-02-2023,81.68,07-04-2023,85.49,10
Zerodha,L&TFH,05-02-2023,92.38,06-23-2023,118.6,10
Zerodha,L&TFH,05-02-2023,92.38,06-06-2023,107.4,10
Zerodha,ZENSARTECH,05-04-2023,292.6,06-26-2023,384.02,5
Zerodha,LOKESHMACH,05-09-2023,150.2,06-21-2023,199,5
Zerodha,ENGINERSIN,05-10-2023,96.85,07-03-2023,114.7,5
Zerodha,ENGINERSIN,05-10-2023,99.1,07-03-2023,114.7,5
Zerodha,DLINKINDIA,05-16-2023,242.95,07-03-2023,253.7,3
Zerodha,UNOMINDA,05-17-2023,558,07-14-2023,581.65,5
Anand,UNOMINDA,05-22-2023,544.47,07-04-2023,560.33,5
Zerodha,ADANIGREEN,05-24-2023,1028.65,06-30-2023,942.75,5
Zerodha,ADANIGREEN,05-24-2023,1028.65,06-26-2023,968.45,5
Anand,MAHABANK,04-25-2023,31.22,,0,50
Zerodha,SUDARSCHEM,05-26-2023,467.45,07-10-2023,484,10
Zerodha,ITC,05-30-2023,442.6,07-25-2023,458.8,10
Zerodha,IRCTC,05-30-2023,637.55,07-07-2023,629.25,8
Zerodha,MAHABANK,04-28-2023,29.95,,0,25
Zerodha,CIEINDIA,06-06-2023,485.05,07-19-2023,516,10
Zerodha,RIIL,06-12-2023,947.95,07-20-2023,951.5,2
Zerodha,SERVOTECH,06-13-2023,149,07-17-2023,163,10
Zerodha,GPIL,06-14-2023,439.85,07-27-2023,548.75,5
Zerodha,MAHABANK,05-25-2023,29.15,,0,25
Zerodha,SAKSOFT,06-15-2023,324.05,07-24-2023,312.4,5
Zerodha,SAKSOFT,06-15-2023,324.05,07-28-2023,304.72,5
Zerodha,STAR,07-04-2023,473.95,08-07-2023,443.46,6
Zerodha,SUZLON,05-31-2023,11.6,,0,100
Zerodha,GPIL,06-14-2023,439.85,,0,5
Zerodha,SOUTHBANK,07-05-2023,20.25,08-29-2023,22.95,100
Zerodha,BSE,07-04-2023,681.45,09-21-2023,1180,5
Zerodha,CDSL,07-10-2023,1215.5,08-28-2023,1133.3,2
Zerodha,APOLLOTYRE,07-11-2023,430.15,08-23-2023,393.45,5
Zerodha,SDBL,07-04-2023,278.95,09-18-2023,325.85,16
Zerodha,GENUSPOWER,07-05-2023,167.65,,0,10
Zerodha,GLENMARK,07-11-2023,672,08-22-2023,762.05,4
Zerodha,REFEX,07-11-2023,641.5,08-11-2023,631.3,3
Zerodha,BHARATWIRE,07-11-2023,191.85,,0,10
Zerodha,GIPCL,07-11-2023,114.8,,0,30
Zerodha,PARAS,07-12-2023,707.6,08-14-2023,623.05,4
Zerodha,COCHINSHIP,07-12-2023,653.1,09-22-2023,996.65,3
Zerodha,ZENTEC,07-12-2023,497.91,09-18-2023,755.78,6
Zerodha,PANAENERG,07-17-2023,339.95,08-23-2023,336.55,4
Zerodha,ZENSARTECH,07-14-2023,419.4,,0,5
Zerodha,SUZLON,07-17-2023,18.3,,0,55
Zerodha,ZENSARTECH,07-18-2023,438.5,,0,4
Zerodha,GLENMARK,07-18-2023,710,08-22-2023,762.05,3
Zerodha,BSOFT,07-18-2023,388.25,,0,5
Zerodha,NATCOPHARM,07-20-2023,744.5,09-08-2023,880.1,4
Zerodha,COCHINSHIP,07-20-2023,682.85,09-22-2023,996.65,3
Zerodha,PARAGMILK,07-21-2023,147.45,,0,14
Zerodha,SUZLON,07-24-2023,20.55,,0,75
Zerodha,ITC,07-26-2023,469.3,,0,10
Zerodha,NATCOPHARM,07-28-2023,840.1,09-08-2023,880.1,2
Zerodha,BSOFT,07-28-2023,405.55,,0,5
Zerodha,PARAGMILK,07-31-2023,173.8,,0,10
Zerodha,BSE,08-07-2023,871.3,09-21-2023,1180,2
Zerodha,BHARATWIRE,08-07-2023,223.01,,0,7
Zerodha,ZENTEC,08-08-2023,737,09-18-2023,755.78,3
Zerodha,GENUSPOWER,08-14-2023,226,,0,8
Zerodha,MAHABANK,08-14-2023,38.6,,0,50
Zerodha,COCHINSHIP,08-16-2023,811,09-22-2023,996.65,1
Zerodha,SUZLON,08-23-2023,21.35,,0,61
Zerodha,BSE,09-04-2023,1187.7,,0,2
AngelOne,COCHINSHIP,09-08-2023,1218.35,09-25-2023,996.15,2
AngelOne,BHARATWIRE,09-08-2023,269.5,,0,8
AngelOne,GENUSPOWER,09-08-2023,275.05,09-18-2023,263,8
AngelOne,CDSL,09-08-2023,1281.65,09-22-2023,1285.75,2
AngelOne,FCL,09-11-2023,349.44,09-18-2023,315.81,7
AngelOne,IRFC,09-11-2023,83.3,09-18-2023,76.5,30
AngelOne,COCHINSHIP,09-27-2023,1113,,0,2
AngelOne,PASUPTAC,09-28-2023,39.14,,0,75
AngelOne,PARAGMILK,09-29-2023,215.7,,0,14
AngelOne,SUNTV,10-03-2023,621.4,,0,5
AngelOne,METROBRAND,10-03-2023,1286.8,,0,2
AngelOne,EDELWEISS,10-03-2023,62.8,,0,50
AngelOne,SUZLON,10-04-2023,28.25,,0,109
AngelOne,EDELWEISS,10-05-2023,73.9,,0,40
AngelOne,GIPCL,10-11-2023,165.15,,0,16
AngelOne,PAKKA,10-12-2023,285.2,,0,11
